1958-002B,PAYLOAD,5613.7934445278825,5042.180626509968,-1440.812189062294
1959-001A,PAYLOAD,4720.613485482431,-7397.305109475848,-612.2272510998608
1959-001B,ROCKET BODY,7960.77487754492,1769.3948749647225,4511.336983977086
1958-002A,ROCKET BODY,-7506.577502586342,-3868.090070709167,-1301.5133343561436
1959-007A,PAYLOAD,-2211.429932568427,7119.492913504728,-4879.884249093247
1959-009A,PAYLOAD,-3432.388023284565,-3731.9426369172215,-4722.110434488282
1960-002B,PAYLOAD,-110.51093960249865,6982.546685690897,-898.4046853258999
1960-007A,PAYLOAD,-1861.8415322402727,2194.91834285432,6683.163576615106
1960-007B,PAYLOAD,913.4493872831059,-3437.7174209758427,6006.639599411355
1960-007C,ROCKET BODY,1739.1160691788773,6472.626107777404,-2007.3134163957095
1960-009B,ROCKET BODY,-3223.5745714304294,-4796.753481764107,5564.701141004731
1960-009C,DEBRIS,5150.239915787942,-3629.8661823970883,-4952.394714356222
1960-009E,DEBRIS,2910.126921694423,7121.707418653851,2350.0553867947547
1960-013A,PAYLOAD,6879.32111397829,722.8457359251668,-3062.4222343886527
1960-013B,ROCKET BODY,-6928.592336869632,-1527.8281127281539,-2446.531534644314
1961-004B,ROCKET BODY,-7333.240743989817,151.98725804100914,1949.356245707967
1961-004C,DEBRIS,4978.107370134026,-1404.9943436966234,1575.8278523429265
1961-013A,PAYLOAD,5618.560877062239,3042.2497616579003,2596.335821382006
1960-002D,DEBRIS,-5073.569680481994,3401.7718866882183,3526.789276682901
1961-015A,PAYLOAD,638.384231196279,-3405.9452327685876,6441.228058780058
1961-015B,PAYLOAD,148.16935120507702,4318.384731883799,-5829.364422943413
1961-015C,ROCKET BODY,-5102.340350132486,3517.781963846088,-3834.146182291698
1961-015D,DEBRIS,6265.020538312883,2378.544848751553,-2690.4384184592172
1961-015E,DEBRIS,3018.8422317590966,-339.1686120770762,6448.84528671867
1961-015F,DEBRIS,1738.2352531911988,-6212.580642554624,3481.79416815951
1961-015G,DEBRIS,-1330.997630351192,-4793.883238429561,5016.549944372331
1961-015H,DEBRIS,-3360.8608327384127,3477.2829012283487,-5197.434876353492
1961-015J,DEBRIS,3382.7986580589477,1780.0855909594188,6072.92714106438
1961-015K,DEBRIS,4442.250796923264,5792.98273575908,-246.63249273461935
1961-015L,DEBRIS,1554.8369807604158,-6830.983805445647,1821.694204633604
1961-015M,DEBRIS,5735.613023590007,-3158.909776932327,-2948.6553634935726
1961-015N,DEBRIS,-1769.5889819197225,4377.182440415569,5480.292676910311
1961-015Q,DEBRIS,3344.9022436033033,-114.41451185106843,6524.859732857351
1961-015R,DEBRIS,-6208.951269639028,-1489.9451729628474,-3366.9113737929783
1961-015S,DEBRIS,-6341.739325765916,2260.013472235533,2909.3683616316516
1961-015T,DEBRIS,-1373.738703318988,6243.907025390905,3419.271489712913
1961-015U,DEBRIS,-7107.095026934181,-1404.8682575927253,-160.0253668343684
1961-015W,DEBRIS,-4639.667466524677,-1038.1409739349763,-5431.903592846615
1961-015Y,DEBRIS,5487.119575236503,-760.5027045591694,-4747.284548719611
1961-015AB,DEBRIS,-3767.693190655258,675.2282544780229,-6285.411633108455
1961-015AE,DEBRIS,6427.17837897002,3430.3074261094885,-87.8143989588299
1961-015AF,DEBRIS,-5703.773335879789,-3457.546621149854,2962.441903177047
1961-015AH,DEBRIS,-0.4491484742923767,-4640.76517218136,5575.7321532217875
1961-015AJ,DEBRIS,5168.768781358181,3505.4942023739154,3651.654308657715
1961-015AL,DEBRIS,2389.6420585450855,-2055.9172616063283,6636.640570271933
1961-015AN,DEBRIS,-1734.722510252131,-2874.1635451071083,-6468.8088935718715
1961-015AQ,DEBRIS,1915.6400589593159,-2825.264486750647,-6362.239243677406
1961-015AR,DEBRIS,3020.250147251311,-1915.2542880209758,6227.036533179364
1961-015AU,DEBRIS,6692.748554094273,4275.066574948298,-1060.0492956148785
1961-015AV,DEBRIS,-4892.082232314352,5862.406008103448,-329.56714517140495
1961-017A,PAYLOAD,-4195.309388880904,-5016.197991338147,-2847.8420679837845
1961-018A,PAYLOAD,-6718.448533409504,-1479.1068131136306,-7127.574739590379
1961-017D,DEBRIS,1593.0701484941123,4791.657358182003,-5038.90915696336
1961-015AY,DEBRIS,3319.0462233520334,6127.636311947842,2282.5814190995266
1961-015BB,DEBRIS,-2464.757124412403,-3802.020855881873,5555.077142263296
1961-015BC,DEBRIS,-3818.0130050740804,-4535.842139668753,-4172.799604477064
1961-018C,DEBRIS,-8952.728965195021,-2868.937504334953,3194.696641159375
1961-028A,PAYLOAD,-7496.565833910821,452.925837656568,6507.987680485318
1961-028C,DEBRIS,26.72137675879193,1012.761422830374,-9718.108097901742
1961-028D,DEBRIS,9307.721539634867,-3960.6893706340325,201.71625575435027
1961-018D,DEBRIS,-8859.711009892875,-1720.4393922642164,-3616.9441872379484
1961-031A,PAYLOAD,6976.533671866789,1420.3727939149485,1716.828526989363
1961-031C,ROCKET BODY,4598.106271612191,4870.393565545846,-3162.4691049857574
1961-031B,PAYLOAD,-6197.070303555956,-978.3154164266208,3996.569605967939
1961-015BE,DEBRIS,-5204.797155871877,3947.065120285007,-3323.410030444566
1961-015BK,DEBRIS,4498.558944236658,-5779.894293100431,719.4957211517628
1961-015BL,DEBRIS,2871.25269197495,4057.512399954607,5242.143025384102
1961-015BM,DEBRIS,-1699.1633903865459,4825.319283121703,-5026.063886217486
1962-002A,PAYLOAD,-2592.5435071571987,6511.741092025491,-1519.321089052517
