OBJECT_NAME,TLE_LINE1,TLE_LINE1
THOR ABLESTAR DEB,1 00178U 61015BC  24002.42245242  .00000113  00000-0  14250-3 0  9992,2 00178  66.8660  32.0200 0086190 275.2501  83.8748 13.92642338172350
MIDAS 3 DEB,1 00188U 61018C   23365.46398476  .00000011  00000-0  36894-2 0  9993,2 00188  91.0869 169.6030 0130355 281.3674  77.2581  8.93830996 37897
MIDAS 4 DEB,1 00194U 61028C   24002.08489459  .00000018  00000-0  90271-2 0  9996,2 00194  95.8605  58.7918 0391095 347.9902  11.1843  8.70074906975244
MIDAS 4 DEB,1 00195U 61028D   24001.46486203 -.00000020  00000-0 -78122-2 0  9998,2 00195  95.8554  16.3438 0117577 219.5944 139.6273  8.65609561965377
MIDAS 3 DEB,1 00196U 61018D   23365.37888103 -.00000048  00000-0 -17843-1 0  9997,2 00196  91.1092 165.1795 0123258 218.6028 140.5979  8.89687685 28710
THOR ABLESTAR DEB,1 00210U 61015BE  24002.51709733  .00000608  00000-0  57893-3 0  9998,2 00210  66.4581  55.8764 0043827 165.9428 194.2877 13.87254927140932
THOR ABLESTAR DEB,1 00223U 61015BK  24002.34060134  .00000019  00000-0  77120-4 0  9990,2 00223  66.8915 336.4803 0074114 246.7340 112.5924 13.88792420166320
THOR ABLESTAR DEB,1 00224U 61015BL  24002.16477924  .00000684  00000-0  42684-3 0  9994,2 00224  66.7364 263.6946 0070504 303.0422 208.7391 14.09569240185967
THOR ABLESTAR DEB,1 00225U 61015BM  24002.56043865  .00001852  00000-0  65431-3 0  9995,2 00225  66.8000  88.3769 0105782 174.7642 185.4593 14.33776458228955
DELTA 1 DEB (YO),1 00227U 62002B   24002.49327460  .00000706  00000-0  25519-3 0  9992,2 00227  48.1486  54.9454 0131019 325.8097  33.4412 14.39111026215063
DELTA 1 DEB (YO),1 00228U 62002C   23364.07531581  .00006170  00000-0  38533-3 0  9999,2 00228  48.4291 250.9105 0009968 302.4382  57.5581 15.10528535305440
THOR ABLESTAR DEB,1 00230U 61015BN  24002.61011233  .00000085  00000-0  11345-3 0  9993,2 00230  66.8840  92.2065 0087351 100.2029 260.8919 13.96378210180555
THOR ABLESTAR DEB,1 00232U 61015BQ  24002.17273560  .00000308  00000-0  25940-3 0  9993,2 00232  66.8211 277.0883 0055737  18.8507 341.4622 13.99869244181393
THOR ABLESTAR DEB,1 00233U 61015BR  24002.62832018  .00010292  00000-0  15478-2 0  9990,2 00233  66.8450 206.6062 0021268  96.7075 263.6468 14.74637283245746
THOR ABLESTAR DEB,1 00234U 61015BS  24002.08147581  .00000319  00000-0  25088-3 0  9993,2 00234  66.8751 231.9454 0066043  59.1070 301.6487 14.02955708185535
THOR ABLESTAR DEB,1 00235U 61015BT  24002.41358868  .00000603  00000-0  34017-3 0  9991,2 00235  66.9563   0.6456 0169581 289.1512  69.1288 14.09705615194844
THOR ABLESTAR DEB,1 00243U 61015BY  24002.56861996  .00001111  00000-0  81934-3 0  9992,2 00243  66.4637  99.8338 0034390 298.9911  60.7723 13.99051726157721
THOR ABLESTAR DEB,1 00244U 61015BZ  24002.20093374  .00000209  00000-0  20810-3 0  9994,2 00244  66.8414 272.9669 0070183 356.7645   3.2972 13.95085731173980
THOR ABLESTAR DEB,1 00245U 61015CA  24002.40040472  .00001093  00000-0  59595-3 0  9992,2 00245  66.1036   3.3173 0051358 353.4937   6.5475 14.15479851200811
THOR ABLESTAR DEB,1 00246U 61015CB  24002.62033977 -.00000006  00000-0  58828-4 0  9992,2 00246  66.8672 197.4553 0061365  41.5117 319.0596 13.85933059499611
THOR ABLESTAR DEB,1 00252U 61015CD  24002.63032135  .00000376  00000-0  44946-3 0  9999,2 00252  67.0779 142.4361 0051276 143.7315 301.5022 13.76871552127854
THOR ABLESTAR DEB,1 00253U 61015CE  24002.42511728  .00010202  00000-0  16391-2 0  9998,2 00253  66.9267  53.6439 0019947 108.7628 251.5660 14.71785215245748
THOR ABLESTAR DEB,1 00254U 61015CF  24002.54195170  .00002044  00000-0  58710-3 0  9998,2 00254  66.7744 173.1135 0064035  38.3740 322.1896 14.45721913243716
THOR ABLESTAR DEB,1 00260U 61015CG  24002.41094571  .00001951  00000-0  66847-3 0  9990,2 00260  66.7706  64.1631 0042800  70.8520 289.7208 14.37773627227092
THOR ABLESTAR DEB,1 00261U 61015CH  24001.72865548  .00000293  00000-0  24221-3 0  9992,2 00261  66.6806 131.2578 0093992 232.6933 126.5556 14.00358797186391
THOR ABLESTAR DEB,1 00262U 61015CJ  24002.40928945  .00006402  00000-0  17019-2 0  9994,2 00262  66.4658   9.4650 0073945 350.2700   9.6968 14.47558159228094
THOR ABLESTAR DEB,1 00263U 61015CK  24002.47126615  .00001435  00000-0  43127-3 0  9997,2 00263  66.5311  29.2467 0105117 187.4888 284.6455 14.42535780253715
THOR ABLESTAR DEB,1 00264U 61015CL  24002.60348823  .00002715  00000-0  10527-2 0  9999,2 00264  66.5274  96.0232 0030921 286.6793  73.0910 14.31237558204951
THOR ABLESTAR DEB,1 00268U 61015CN  24002.51993069  .00000415  00000-0  13709-2 0  9991,2 00268  67.9408  51.1995 0650872  74.9653  34.0918 12.51021072841069
MIDAS 5 DEB,1 00273U 62010C   24002.14186107  .00000049  00000-0  90921-2 0  9993,2 00273  86.6559  68.3156 0315512 245.3569 111.4170  9.43791497126651
MIDAS 5 DEB,1 00274U 62010D   24001.22689666 -.00000027  00000-0 -62229-2 0  9998,2 00274  86.6421 103.8190 0362129 185.3324 174.3666  9.39406128116466
THOR ABLESTAR DEB,1 00299U 61015CQ  24002.25478341  .00000202  00000-0  27820-3 0  9991,2 00299  67.1694 313.3585 0197747 244.0380 114.0200 13.68333667106314
DELTA 1 DEB (YO),1 00312U 62025C   24002.45839778  .00002058  00000-0  37835-3 0  9994,2 00312  58.2484  62.4768 0202784 187.1063 172.7082 14.57020823227988
THOR ABLESTAR DEB,1 00318U 61015CU  24002.26552566  .00017599  00000-0  13631-2 0  9997,2 00318  66.5378 318.2674 0053860 334.7221  25.1277 15.00366961278866
THOR ABLESTAR DEB,1 00320U 61015CW  24002.57399972  .00000324  00000-0  14922-3 0  9997,2 00320  66.9038 208.2007 0137360 348.6835  11.1182 14.28094726240255
