OBJECT_NAME,TLE_LINE1,TLE_LINE1
SL-16 DEB,1 22607U 93016R   24002.62516470  .00000025  00000-0  63960-4 0  9990,2 22607  70.9926 111.2192 0175634 294.1685 169.9309 13.75823646544870
SL-16 DEB,1 22608U 93016S   24002.63734899 -.00000006  00000-0  31199-4 0  9998,2 22608  71.0032 155.5045 0129134  49.3131  41.4310 13.84601110554832
SL-16 DEB,1 22609U 93016T   24002.38202692  .00000421  00000-0  36262-3 0  9997,2 22609  70.9930 118.5091 0136137  34.5232  22.7210 13.88008841555587
SL-16 DEB,1 22610U 93016U   24002.52104064 -.00000006  00000-0  34958-4 0  9990,2 22610  71.0010  50.6895 0211750 130.8166 231.1512 13.67780537535999
SL-16 DEB,1 22611U 93016V   24001.60315714  .00000305  00000-0  31063-3 0  9999,2 22611  70.9917  79.6709 0173700 274.5681 206.6153 13.78105143545747
SL-16 DEB,1 22612U 93016W   24002.60651226  .00005832  00000-0  23753-2 0  9998,2 22612  70.9813  69.0682 0079479 220.5381 302.8255 14.26118472578451
SL-16 DEB,1 22613U 93016X   24002.05514495  .00000504  00000-0  48931-3 0  9991,2 22613  70.9991 231.7980 0195379   5.0321 161.0900 13.76041080541474
SL-16 DEB,1 22614U 93016Y   24002.39955920  .00000439  00000-0  37842-3 0  9997,2 22614  70.9990 109.0394 0128181  19.5301  44.9230 13.88301508555821
SL-16 DEB,1 22615U 93016Z   24002.07414984  .00000761  00000-0  58799-3 0  9995,2 22615  71.0031  87.9370 0135697 355.5352  74.2171 13.91768923556617
SL-16 DEB,1 22616U 93016AA  24002.56650448  .00000090  00000-0  12550-3 0  9997,2 22616  70.9937 217.4972 0187298   9.3825  17.4193 13.73619922541949
SL-16 DEB,1 22617U 93016AB  24002.44330984  .00000702  00000-0  55989-3 0  9998,2 22617  71.0012 114.6393 0135927  19.4053  51.7393 13.90182902555779
SL-16 DEB,1 22618U 93016AC  24002.21811147  .00000227  00000-0  22624-3 0  9991,2 22618  70.9932 288.8104 0156414 154.0853 206.8194 13.82663739550456
SL-16 DEB,1 22619U 93016AD  24002.61575174  .00000004  00000-0  44664-4 0  9995,2 22619  70.9983 199.6676 0187183 336.3591  79.7353 13.73703716541967
SL-16 DEB,1 22620U 93016AE  24002.62490938  .00000007  00000-0  42667-4 0  9996,2 22620  71.0045 184.2581 0132457  66.2404   3.1081 13.83965618553482
SL-16 DEB,1 22645U 93016AF  24002.36164171  .00000699  00000-0  59079-3 0  9992,2 22645  70.9869 341.8357 0173497 198.6698 312.7076 13.84416329548092
SL-16 DEB,1 22665U 92093JA  24002.11978574  .00000225  00000-0  16134-3 0  9991,2 22665  71.0788  44.4196 0067639  27.3387   4.2491 14.06154257575656
TITAN 34D TRANSTAGE DEB,1 22668U 88077D   24001.70059114  .00000246  00000-0  63460-3 0  9992,2 22668  26.5702 118.1311 7332657 263.0108  16.7297  2.14320822 35810
TITAN 34D TRANSTAGE DEB,1 22669U 88077E   24002.45803052 -.00000002  00000-0  74637-3 0  9993,2 22669  26.4720 141.2187 7335594 233.2275  35.3215  2.10846891 35143
ARIANE 42P+ DEB,1 22670U 92072C   24001.90894658  .00017468  00000-0  20651-2 0  9995,2 22670   6.8296 312.6850 6168923 147.9889 272.1020  3.81635159726220
SCOUT G-1 DEB,1 22706U 93041C   24002.38402816  .00001933  00000-0  56340-3 0  9991,2 22706  89.2939 132.2103 0028100 188.0745 230.9674 14.43629239600353
SCOUT G-1 DEB,1 22707U 93041D   24002.22998304  .00001443  00000-0  54920-3 0  9995,2 22707  90.1608 284.7314 0142854   3.5176 356.6986 14.25145697581662
SL-16 DEB,1 22804U 93059C   24002.59289331  .00000099  00000-0  13461-3 0  9996,2 22804  70.9737 140.4284 0211240 324.7584 114.6440 13.71642233515819
SL-16 DEB,1 22805U 93059D   24002.61475486  .00000099  00000-0  13628-3 0  9993,2 22805  70.9709 180.2261 0211942  24.6052  43.7860 13.70340272514512
SL-16 DEB,1 22806U 93059E   24002.62822019  .00000200  00000-0  22541-3 0  9991,2 22806  71.0182 121.5727 0201807 199.3132 265.7402 13.73536046517995
SL-16 DEB,1 22807U 93059F   24002.60507271  .00000163  00000-0  19373-3 0  9997,2 22807  71.0158 167.2461 0208768 259.3453 172.2180 13.72241623516534
SL-16 DEB,1 22812U 92093JB  24002.45688357  .00002713  00000-0  16369-2 0  9992,2 22812  70.6883  26.5796 0139892 259.9038  98.6270 14.02798616556958
SL-16 DEB,1 22816U 92093JC  24001.75125796  .00008804  00000-0  31051-2 0  9993,2 22816  71.4596 272.3622 0098854  59.8312 301.2571 14.32223840579110
TITAN 34D TRANSTAGE DEB,1 22818U 88077F   23365.62569506  .00005479  00000-0  36532-2 0  9995,2 22818  26.6011 198.3495 7060352 256.6657  22.0750  2.52978538 41143
SL-8 DEB,1 22840U 91009CK  24002.51987516  .00000431  00000-0  32186-2 0  9995,2 22840  73.9567  39.2874 0169741   8.5869 146.2037 12.39109477418540
SL-8 DEB,1 22841U 91009CL  24002.43508913  .00000013  00000-0  24521-3 0  9998,2 22841  74.0413 152.2782 0129671  15.1144  15.7980 12.22949980465097
SL-8 DEB,1 22842U 91009CM  24002.40085278  .00000085  00000-0  76255-3 0  9990,2 22842  73.8857 358.4979 0136328 148.0347 333.0953 12.36304513479322
DELTA 2 DEB,1 22849U 92089D   24001.92876734  .00236316  86967-6  49764-3 0  9992,2 22849  34.8476 213.3258 0970149 166.1796 196.7556 14.00045191377617
ARIANE 44L+ DEB,1 22850U 92021E   24002.49623882 -.00000367  00000-0 -16064-1 0  9997,2 22850   3.4709 250.6791 7053441 357.0937 267.1313  2.24848078252207
COSMOS 1934 DEB,1 22919U 88023D   24002.35491455  .00001488  00000-0  11494-2 0  9990,2 22919  82.9478 328.0630 0035493   9.1705 144.7913 13.91918714682459
SL-8 DEB,1 23007U 93036C   24002.39474920  .00001671  00000-0  49559-3 0  9999,2 23007  74.0273 350.2648 0010928 172.8084 343.9391 14.44057483600395
TITAN 34D TRANSTAGE DEB,1 23038U 88077H   24002.56887122  .00002130  00000-0  26240-2 0  9995,2 23038  26.7684  73.0744 6903594 118.0441 326.3508  2.70759985 41724
TITAN 34D TRANSTAGE DEB,1 23039U 88077J   24002.40019677 -.00000103  00000-0 -20353-2 0  9990,2 23039  27.3639  31.6976 7357082 175.0962 201.6764  2.03560168 32926
TITAN 34D TRANSTAGE DEB,1 23040U 88077K   24001.10807648  .00000444  00000-0  11280-2 0  9996,2 23040  27.3408 335.7073 7317706 150.0361 287.5925  2.17814194 37218
TITAN 34D TRANSTAGE DEB,1 23041U 88077L   24002.17354279  .00000869  00000-0  19188-2 0  9998,2 23041  27.2939 329.5771 7295291 159.9310 259.5711  2.20360498 36835
SL-16 DEB,1 23089U 94023C   24002.52139715  .00000033  00000-0  69209-4 0  9997,2 23089  71.0241  40.7544 0197672 157.5406 203.4502 13.73925460488470
SL-16 DEB,1 23090U 94023D   24002.40879468  .00000139  00000-0  16542-3 0  9990,2 23090  71.0328 357.5267 0189857  84.1880 278.0830 13.75283004489955
SL-16 DEB,1 23091U 94023E   24002.43681676  .00000136  00000-0  16674-3 0  9999,2 23091  70.9827  10.8024 0204836 243.4097 237.2684 13.73425179487921
SL-16 DEB,1 23094U 94023F   24002.39132451  .00000082  00000-0  11541-3 0  9997,2 23094  70.9875 359.2616 0201826 197.7370 276.4009 13.73974415488362
TITAN 34D TRANSTAGE DEB,1 23130U 88077M   24002.04951789  .00000104  00000-0  11485-1 0  9995,2 23130  27.5019 324.4560 7290939  16.7875 358.0230  2.00412025 33049
USA 40 R/B DEB,1 23159U 89061N   24002.51524130  .00040069  00000-0  11673-1 0  9991,2 23159  56.9742 196.9493 2212359 232.9739 104.7903 10.58563763157253
ARIANE 44L+ DEB,1 23237U 92021G   24002.47286426 -.00000135  00000-0 -77651-3 0  9998,2 23237   3.2170 240.2514 7061212  26.2640  82.4952  2.25026439245553
ARIANE 44L+ DEB,1 23238U 92021H   24002.61629368 -.00000252  00000-0 -25229-1 0  9993,2 23238   3.8855 308.7145 6999566 237.1300 329.7775  2.24446973262037
ARIANE 44L+ DEB,1 23239U 92021J   24002.24535420 -.00000154  00000-0  00000-0 0  9997,2 23239   4.1542  34.9814 6982948  64.7955 331.2732  2.23720254248921
ARIANE 44L+ DEB,1 23240U 92021K   24002.03564245 -.00000139  00000-0  00000-0 0  9996,2 23240   3.8281  58.8910 6986287  18.5046 353.8122  2.23394341243741
ARIANE 44L+ DEB,1 23241U 92021L   24002.57702242 -.00000123  00000-0 -20233-3 0  9994,2 23241   3.3257 251.6563 7063257   7.1438 317.5662  2.24719719243860
ARIANE 44L+ DEB,1 23242U 92021M   24002.42112891 -.00000224  00000-0 -14766-1 0  9998,2 23242   3.7784 289.3961 7024754 279.0513 309.0498  2.24617470 96841
ARIANE 2 DEB,1 23243U 89027C   23364.53492171 -.00000414  00000-0 -46448-2 0  9999,2 23243   3.1742  58.4271 7191593  79.2824 347.5635  2.21051543 34628
ARIANE 44L+ DEB,1 23244U 92021N   23362.18435556 -.00000117  00000-0  00000+0 0  9991,2 23244   4.4253 319.0245 6869924 203.9643 333.8058  2.21528106239203
ARIANE 44L+ DEB,1 23245U 92021P   23364.49587213 -.00000108  00000-0  00000+0 0  9996,2 23245   4.0270 354.7630 6975089 151.7544 276.6129  2.24938093230862
ETS 6 DEB,1 23248U 94056C   23364.53708289 -.00000079  00000-0  00000-0 0  9990,2 23248  12.1292 234.5716 5221883 193.4002 124.1529  1.70298960182371
DMSP 5D-2 F12 DEB,1 23250U 94057D   24002.62966618  .00007674  00000-0  16501-2 0  9998,2 23250  98.1329  32.5490 0006788 147.4407 336.3717 14.58778378535477
CZ-4 DEB,1 23254U 90081CK  24002.62045407  .00001154  00000-0  38419-3 0  9999,2 23254  98.5855  57.2843 0069573  14.4818 137.6510 14.38174898548602
CZ-4 DEB,1 23258U 90081CP  24002.42738629  .00000802  00000-0  40919-3 0  9993,2 23258  98.6332 358.6227 0023164 110.7237 249.6425 14.18264588632418
CZ-4 DEB,1 23259U 90081CQ  24002.21874920  .00002121  00000-0  84676-3 0  9990,2 23259  98.5194   3.7914 0019274 118.4502 241.8625 14.29404317681825
CZ-4 DEB,1 23260U 90081CR  24002.52979310  .00048826  00000-0  39191-2 0  9998,2 23260  97.9488  20.8921 0008935 193.1924 318.2190 14.99845097709147
CZ-4 DEB,1 23261U 90081CS  24001.51830619  .00004986  00000-0  12569-2 0  9994,2 23261  98.2966  18.3731 0020699 225.1535 288.4448 14.51409594711388
SL-8 DEB,1 23263U 91009CU  23364.71191069  .00000624  00000-0  66627-2 0  9998,2 23263  74.1308 245.9759 0160569   1.5556  26.4774 12.10744116526270
SL-8 DEB,1 23265U 91009CW  24001.98999600  .00000439  00000-0  37324-2 0  9991,2 23265  73.9984  10.2954 0166229 331.8299  54.3487 12.29271026469598
SL-16 DEB,1 23275U 92093JF  23365.58038038  .00000431  00000-0  32291-3 0  9994,2 23275  71.2459 216.2833 0107207 298.4243  60.6100 13.97259685535598
SL-16 DEB,1 23282U 92093JG  24002.21889998  .00010131  00000-0  33868-2 0  9998,2 23282  71.1838 276.5118 0076061 342.2445 139.8981 14.35944416544374
SL-12 DEB,1 23292U 85118P   24002.38802392  .00002499  00000-0  22325-2 0  9994,2 23292  65.1187 304.3782 5622326 339.4093   4.8300  4.50143919500008
ARIANE 42P+ DEB,1 23301U 92072D   24001.78824504  .00001220  00000-0  66797-2 0  9996,2 23301   7.3435  27.1091 6170326  12.1952 357.7816  3.55505796   628
SL-16 DEB,1 23302U 92093JH  24002.54596449  .00001640  00000-0  90445-3 0  9993,2 23302  71.1256 208.9367 0124179 239.1766 148.2568 14.09132941527661
SL-16 DEB,1 23303U 93059G   24002.49196708  .01447319  00000-0  69804-2 0  9997,2 23303  71.0629 161.5673 0010578  12.5096 347.6373 15.79703609613551
COSMOS 700 DEB,1 23308U 74105C   24002.59960413  .00001252  00000-0  95834-3 0  9990,2 23308  82.9439 233.1209 0019719 223.6441 165.5031 13.92538980551877
DELTA 1 DEB,1 23309U 75052JY  24002.50121808  .00000176  00000-0  76743-3 0  9993,2 23309  99.6696 356.9713 0391082 231.0911 286.5800 12.71832583511936
DELTA 1 DEB,1 23310U 75052JZ  24002.46738997  .00000169  00000-0  63905-3 0  9991,2 23310  99.8442 176.3948 0322629 295.6478 119.5450 12.89545285469351
RESURS O1 DEB,1 23344U 94074C   24002.59992630  .00001339  00000-0  28487-3 0  9999,2 23344  98.0179  35.3536 0124082   2.6603 113.8232 14.55947599542572
RESURS O1 DEB,1 23345U 94074D   24002.58824972  .00000750  00000-0  24145-3 0  9995,2 23345  97.8507 236.0938 0194301   2.6643  52.9166 14.31677664519352
RESURS O1 DEB,1 23346U 94074E   24002.24480736  .00001386  00000-0  42077-3 0  9995,2 23346  98.4673 103.5142 0175645 238.0297 120.3711 14.35298956522356
RESURS O1 DEB,1 23347U 94074F   24002.23309203  .00001331  00000-0  29560-3 0  9996,2 23347  97.8725 108.4186 0131930  84.2771 334.9981 14.53283416539565
USA 40 R/B DEB,1 23351U 89061X   23365.99338726  .00012886  00000-0  70170-2 0  9996,2 23351  56.9515 216.8994 2421910 206.5666 138.7943 10.03268204174841
USA 40 R/B DEB,1 23353U 89061Z   23344.44472450  .00004380  00000-0  29909-2 0  9992,2 23353  56.9897  17.2880 2955720 233.4735  95.6475  8.98978900155808
USA 40 R/B DEB,1 23356U 89061AC  24001.35612063  .00008736  00000-0  55415-2 0  9992,2 23356  56.8905 135.4080 2649810 342.4752   9.9326  9.56898462167125
USA 40 R/B DEB,1 23358U 89061AE  24001.28563184  .00002456  00000-0  20889-2 0  9995,2 23358  56.9016 320.5500 3070912 147.7090 235.5645  8.73301859154166
USA 40 R/B DEB,1 23359U 89061AF  24001.97997731  .00029459  00000-0  17262-1 0  9993,2 23359  56.9184 359.6462 2403481 343.4178   9.9648 10.04752095176771
USA 40 R/B DEB,1 23361U 89061AH  24001.22742452  .00005932  00000-0  39147-2 0  9999,2 23361  56.9869  66.0093 2832422 328.5949  17.2501  9.22295901162427
USA 40 R/B DEB,1 23362U 89061AJ  23343.76884098  .00022025  00000-0  17230-1 0  9990,2 23362  56.8843 133.4987 2759522 182.7286 175.5027  9.31363502161101
USA 40 R/B DEB,1 23370U 89061AS  24001.85752319  .00051540  00000-0  22345-1 0  9998,2 23370  57.0530 306.1978 2563612   0.1793 359.9473  9.81957204170605
USA 40 R/B DEB,1 23373U 89061AV  24002.28315102  .00004187  00000-0  47075-2 0  9997,2 23373  56.9889  38.2940 3068623  33.2920 342.7883  8.66843063153297
USA 40 R/B DEB,1 23377U 89061AZ  23357.44834859  .00015285  00000-0  86939-2 0  9999,2 23377  57.0162  24.3365 2922446 198.1630 148.8361  9.09024114120559
USA 40 R/B DEB,1 23378U 89061BA  24002.20513842  .00016371  00000-0  83116-2 0  9999,2 23378  56.9223 307.8948 3064902 105.5833 289.9974  8.85325614113409
USA 40 R/B DEB,1 23379U 89061BB  24002.58733897  .00003802  00000-0  26239-2 0  9993,2 23379  56.9677 119.0930 3118888  36.8444 341.0697  8.69207023153179
USA 40 R/B DEB,1 23380U 89061BC  24002.00721361  .00007968  00000-0  57338-2 0  9996,2 23380  57.0349 237.3838 3033146  92.0560 302.4960  8.83645507  5388
USA 40 R/B DEB,1 23381U 89061BD  24002.00154859  .00032146  00000-0  16347-1 0  9999,2 23381  56.9334 292.9411 2564897  49.6182 330.1882  9.77988028170414
USA 40 R/B DEB,1 23383U 89061BF  24002.30561455  .00008054  00000-0  39652-2 0  9994,2 23383  57.0288 329.7548 2868109 225.5663 107.1814  9.22307834159737
USA 40 R/B DEB,1 23385U 89061BH  23341.88609217  .00017685  00000-0  11225-1 0  9998,2 23385  57.0234 297.2532 3169973 293.3358  36.6947  8.61504166149449
USA 40 R/B DEB,1 23388U 89061BL  23365.86553451  .00016954  00000-0  97510-2 0  9993,2 23388  56.9017 188.8242 2581723 250.8056  79.7690  9.71885733167712
USA 40 R/B DEB,1 23392U 89061BQ  24002.39994901  .00009014  00000-0  53994-2 0  9991,2 23392  56.9750   6.1015 3097072  88.2727 306.4600  8.76048897153801
USA 40 R/B DEB,1 23395U 89061BT  24002.00416357  .00021965  00000-0  16724-1 0  9994,2 23395  57.0992 276.2420 3070063  65.4922 323.3852  8.75568920  1676
SL-16 DEB,1 23406U 94077C   24002.43559312  .00000142  00000-0  17162-3 0  9999,2 23406  71.0319   6.1617 0199589 115.2518   3.4135 13.73063006458016
SL-16 DEB,1 23407U 94077D   24002.38684380  .00000104  00000-0  13606-3 0  9995,2 23407  71.0347 355.4633 0197153  76.0731  33.5878 13.73394206458402
SL-16 DEB,1 23408U 94077E   24002.52406429  .00000066  00000-0  10431-3 0  9998,2 23408  70.9863  30.3795 0215085 217.5880 296.8983 13.70949204455807
SL-16 DEB,1 23409U 94077F   24002.59692059  .00000201  00000-0  16721-3 0  9991,2 23409  70.8816  58.9763 0090370 161.7880 198.6506 13.98256578484777
SL-16 DEB,1 23410U 94077G   24002.42311447  .00000131  00000-0  17091-3 0  9997,2 23410  70.9793 112.7892 0223645 310.4747 113.7059 13.68408610453112
SL-16 DEB,1 23418U 94077J   24002.30425354  .00000332  00000-0  21291-3 0  9995,2 23418  71.0051 238.1820 0074753  92.1157 268.8525 14.08970195537037
COSMOS 2298 DEB,1 23433U 94083C   24002.45428477  .00001567  00000-0  49445-3 0  9996,2 23433  74.0064 159.7898 0011609 323.6797  98.3168 14.41104493520721
COSMOS 2298 DEB,1 23434U 94083D   24002.34981270  .00001399  00000-0  49374-3 0  9994,2 23434  74.0308 331.5390 0010981   6.6669 143.9235 14.35633099515636
SL-19 DEB,1 23479U 94085C   24002.19808469 -.00001788  00000-0 -41177-1 0  9991,2 23479  65.0446 276.7369 0092818 194.3663 320.1999 11.45078732210499
SL-19 DEB,1 23480U 94085D   24001.95155341  .00000185  00000-0  52171-2 0  9995,2 23480  64.7012 197.5291 0207725 293.1050 187.2063 11.45397708474520
SL-19 DEB,1 23482U 94085E   24002.08356894  .00002727  00000-0  61295-1 0  9998,2 23482  64.6857 266.0733 0453831 333.1286 128.9529 11.31597362195014
SL-19 DEB,1 23483U 94085F   24002.42523078 -.00000035  00000-0  20238-3 0  9992,2 23483  64.7298  59.8658 0200959 315.4483 143.7419 11.22864062189809
SL-19 DEB,1 23484U 94085G   24002.51188024  .00000266  00000-0  89259-2 0  9993,2 23484  64.7305 159.6792 0247132 280.7607 140.3649 11.22227982187184
SL-19 DEB,1 23485U 94085H   23365.64069622  .00000158  00000-0  56732-2 0  9991,2 23485  64.6489 204.2930 0149958 346.7404  12.9598 11.28466029195777
SL-19 DEB,1 23486U 94085J   24002.33083693 -.00000323  00000-0 -81389-2 0  9993,2 23486  64.9136 123.0730 0169006  51.2081 338.8391 11.25503945502196
SL-19 DEB,1 23487U 94085K   24002.55328677 -.00000011  00000-0  85647-3 0  9997,2 23487  64.9405 291.4221 0170916 354.7661  60.1898 11.30393456197601
SL-19 DEB,1 23488U 94085L   24002.51392341  .00002857  00000-0  77794-1 0  9994,2 23488  64.9990  84.6029 0240428 293.6351 167.5255 11.29219735193668
SL-19 DEB,1 23489U 94085M   24002.51680672  .00000022  00000-0  17814-2 0  9992,2 23489  64.9374  33.2674 0188150  12.4559 100.7787 11.28840056194756
SL-19 DEB,1 23490U 94085N   24002.00170174 -.00000057  00000-0 -47472-3 0  9993,2 23490  64.8229 213.6833 0130688 172.9305 306.7214 11.20495812187282
SL-19 DEB,1 23491U 94085P   24002.62114403  .00007864  00000-0  19739+0 0  9997,2 23491  64.8098  87.1101 0223696  22.4547  81.4762 11.36119974201548
SL-19 DEB,1 23492U 94085Q   23365.79416642  .00000008  00000-0  13725-2 0  9992,2 23492  64.9469 275.4004 0178721 336.9436  54.0334 11.31153453197724
SL-19 DEB,1 23493U 94085R   24001.15726863 -.00000211  00000-0 -45598-2 0  9991,2 23493  64.9376 254.5096 0147710 352.0469 163.7064 11.31795606198811
SL-19 DEB,1 23494U 94085S   23365.49180345  .00004455  00000-0  83228-1 0  9993,2 23494  64.9613 141.5686 0200624 231.0697 196.6737 11.62523675479227
SL-19 DEB,1 23495U 94085T   23365.35953116 -.00000052  00000-0 -24735-3 0  9994,2 23495  65.0267 324.9971 0189278 239.3974 276.3669 11.31062100198134
SL-19 DEB,1 23496U 94085U   23364.10326612 -.00000612  00000-0 -15416-1 0  9998,2 23496  64.8501 236.4426 0058986 150.2685   3.9801 11.33670143197265
DMSP 5D-2 F13 DEB,1 23535U 95015C   24002.17780857  .00013397  00000-0  24399-2 0  9991,2 23535  98.6091 266.3801 0003866  86.6125 273.5520 14.66184178508610
SL-19 DEB,1 23564U 94085V   23365.92878000 -.00000043  00000-0 -76119-5 0  9997,2 23564  64.9906 171.8302 0201637 265.4495 252.5937 11.34854408187122
SL-12 DEB,1 23616U 92047J   23365.39427610  .00061494  00000-0  17305-2 0  9993,2 23616  64.2915  56.2312 4061428 199.9062 138.2077  7.39051824569802
TITAN 34D TRANSTAGE DEB,1 23619U 88077N   23338.75017115 -.00000380  00000-0 -33355-2 0  9991,2 23619  26.9938  57.8076 7377881 131.8363 319.8130  2.01323860   302
SL-16 DEB,1 23706U 95058C   24002.53063236  .00000137  00000-0  16649-3 0  9991,2 23706  71.0013  35.3236 0201406 237.7826 239.2135 13.74021518412130
SL-16 DEB,1 23707U 95058D   24002.57266963  .00000078  00000-0  11472-3 0  9991,2 23707  70.9958  88.5831 0208023 308.1609 160.9414 13.72141904410354
SL-16 DEB,1 23708U 95058E   24002.42836229  .00000147  00000-0  17040-3 0  9998,2 23708  71.0516   4.8244 0183235  99.6502  50.4248 13.76322090414709
SL-16 DEB,1 23709U 95058F   24002.56107361  .00000107  00000-0  13741-3 0  9992,2 23709  71.0386  61.2519 0198969 192.6011 279.2763 13.74398720412517
TITAN 34B AGENA D DEB,1 23811U 83078C   23365.08736803  .00001151  00000-0  18405-2 0  9993,2 23811  63.4335 269.6968 4871920 247.2961  55.2585  5.57788417 87321
TITAN 34B AGENA D DEB,1 23812U 83078D   24001.98274479  .00000096  00000-0  20621-3 0  9998,2 23812  63.6486 236.5028 3885676 251.4499  63.2889  7.14831768118971
OPS 0856 DEB,1 23820U 66077D   23364.02103989  .00001876  00000-0  60103-1 0  9994,2 23820  87.6350   3.8889 2082666  28.2470 341.7090  8.94714092  6559
COSMOS 985 DEB,1 23836U 78007D   24002.02046497  .00001484  00000-0  98105-3 0  9997,2 23836  82.9321  93.9611 0039522  29.6358  88.7057 14.00625105515440
MSX DEB,1 23859U 96024C   24002.35538539  .00000321  00000-0  24963-3 0  9990,2 23859  99.0336 306.9192 0087494  44.2242  70.8614 13.97812399411025
ARIANE 44L+3 DEB (SPELDA,1 23867U 96030D   24001.17668561  .00001117  00000-0  15628-2 0  9995,2 23867   3.8037  86.4403 6647496  95.0162 337.6471  3.03763646270951
USA 125 DEB,1 23947U 96038C   24001.76847186  .00000222  00000-0  29839-3 0  9995,2 23947  55.3590 162.2725 4891283 220.8672  89.8122  5.56340660 90601
ARIANE 2 DEB,1 23966U 88098F   24002.43557905  .00011405  00000-0  87249-2 0  9998,2 23966   3.3283 212.3135 6114090 142.5196 282.2575  3.79561426355415
PEGASUS DEB,1 23986U 94029AG  24002.62021302  .00005595  00000-0  36024-3 0  9998,2 23986  82.0414 206.9490 0059963  28.6845  30.8074 15.06658078494335
PEGASUS DEB,1 24007U 94029BC  24002.38779242  .00003187  00000-0  28427-3 0  9992,2 24007  81.9237 115.6558 0074217 335.6153  92.6553 14.93560039490567
PEGASUS DEB,1 24051U 94029CY  24002.58380528  .00009010  00000-0  22334-2 0  9999,2 24051  81.2957 205.4693 0420736 230.3784 185.9325 14.09688154389238
PEGASUS DEB,1 24082U 94029ED  24002.60828005  .00004963  00000-0  43989-3 0  9995,2 24082  81.9036 198.0463 0073611 341.9795  76.7730 14.93943032485412
PEGASUS DEB,1 24091U 94029EN  24002.62342840  .00003758  00000-0  32429-3 0  9993,2 24091  81.9965 220.0870 0077094 308.7805 104.9521 14.94711960495779
PEGASUS DEB,1 24126U 94029FZ  24002.33319274  .00004228  00000-0  10334-2 0  9998,2 24126  81.8069 115.7070 0325097 340.6114  69.6626 14.25002233425373
PEGASUS DEB,1 24129U 94029GC  24002.22264887  .00004824  00000-0  12740-2 0  9993,2 24129  81.4784 262.5706 0573940   6.4062 106.3604 13.80797874375599
PEGASUS DEB,1 24151U 94029HA  24002.38482107  .00002723  00000-0  47971-3 0  9993,2 24151  82.0205 335.6397 0159719 349.0034  10.7687 14.59211116461891
PEGASUS DEB,1 24163U 94029HN  24002.47757090  .00028864  00000-0  10455-2 0  9992,2 24163  82.0677 161.4075 0028016 189.1976 170.8753 15.27862823499805
PEGASUS DEB,1 24165U 94029HQ  24002.25650800  .00019837  00000-0  30090-2 0  9998,2 24165  82.1775 308.0834 0221954  77.9288 284.6688 14.58677556427054
PEGASUS DEB,1 24197U 94029JY  24002.56743275  .00002410  00000-0  27872-3 0  9990,2 24197  82.0917 120.3722 0083726  14.5573 116.4123 14.82631095563472
PEGASUS DEB,1 24213U 94029KL  24002.12471410  .00006499  00000-0  16392-2 0  9995,2 24213  81.4645 257.0383 0558601  35.4601 328.2377 13.85292628 37260
PEGASUS DEB,1 24227U 94029LA  24002.15098729  .00002344  00000-0  32529-3 0  9997,2 24227  82.0429 241.7307 0150181 275.1668 205.4037 14.70032110469626
PEGASUS DEB,1 24236U 94029LK  24002.44412809  .00016492  00000-0  26392-2 0  9997,2 24236  81.4401 137.5767 0407177 170.0415 190.9162 14.28776271405515
PEGASUS DEB,1 24239U 94029LN  24002.48973792  .00004385  00000-0  72848-3 0  9993,2 24239  81.5201  13.0300 0199593 145.8799 215.5421 14.57562374444528
SL-16 DEB,1 24284U 95058G   24002.56864186  .00000334  00000-0  18196-3 0  9997,2 24284  70.8621 153.0938 0010917  37.1152 323.0724 14.19423163456451
SL-16 DEB,1 24299U 96051C   24002.52874345  .00000112  00000-0  14079-3 0  9991,2 24299  71.0379  37.4027 0191830 218.6652 140.0588 13.75490285371405
SL-16 DEB,1 24300U 96051D   24002.56808010  .00000204  00000-0  22793-3 0  9998,2 24300  71.0292  70.4998 0198336 284.5778 186.2703 13.74367767370075
SL-16 DEB,1 24301U 96051E   24002.46119507  .00000067  00000-0  10354-3 0  9991,2 24301  70.9934 106.3869 0208053   5.6634  77.7883 13.72172984367931
SL-16 DEB,1 24302U 96051F   24002.50820734  .00000093  00000-0  12990-3 0  9995,2 24302  70.9845 137.7239 0205435  70.3079   1.2413 13.70780703366690
SL-16 DEB,1 24303U 96051G   24002.58018699 -.00000006  00000-0  23052-4 0  9990,2 24303  71.1078  83.7007 0072831 278.4069 182.9465 14.08210641404437
PEGASUS DEB,1 24340U 94029NR  24001.26792808  .00003008  00000-0  13276-2 0  9998,2 24340  81.5698 300.4514 0871253 167.5189 194.9122 13.06388651407787
PEGASUS DEB,1 24378U 94029QF  24002.55412689  .00000885  00000-0  16337-3 0  9990,2 24378  82.0293  28.8649 0170272 124.8371 236.8978 14.55344204568051
PEGASUS DEB,1 24529U 94029WD  24002.31931706  .00003753  00000-0  40488-3 0  9999,2 24529  81.9783 306.2744 0117980 339.7935 174.3278 14.83121328119029
PEGASUS DEB,1 24581U 94029YH  24002.54470896  .00002610  00000-0  10070-2 0  9994,2 24581  81.5471  44.1068 0778130 151.6789 338.3284 13.28796071316245
PEGASUS DEB,1 24594U 94029YW  24002.40835447  .00003186  00000-0  76755-3 0  9992,2 24594  81.4680 126.6294 0498653 351.1607  69.0256 13.97558997381644
