ECHO 1 DEB (METAL OBJ),0,"(5668.2422588318295, -3027.5986729783217, 4767.536616867407)","(4.838951075208488, 4.173778320968252, -2.9733885180880777)"
ECHO 1 DEB (METAL OBJ),0,"(5084.437788782652, 1802.917668201398, -5799.450042895394)","(-1.9813276847672197, 6.825261948063254, 0.4352673817514187)"
SCOUT X-1 DEB,0,"(-618.3505392104851, -6750.636003456041, -3133.6815240052524)","(6.240518955529132, 0.8867277352912413, -3.3525423764672557)"
THOR ABLE DEB (YO),0,"(3194.621950540328, -5768.516144035731, 2316.224395989596)","(3.820326380483964, 4.145058652134736, 5.052198407797737)"
THOR ABLESTAR DEB,0,"(3906.834867539639, 6058.93055894362, -471.65611065386065)","(-2.6631576205043883, 1.2862615846177048, -6.802078335257012)"
THOR ABLESTAR DEB,0,"(1098.0296895046347, 2938.7140334651253, 6427.220925831399)","(-5.317873237159544, 5.045666650209027, -1.4926009227857135)"
THOR ABLESTAR DEB,0,"(-4990.075875112977, 4672.721768738113, 2343.8977592225237)","(-3.7742192828334873, -0.7251575081385526, -6.385546415444821)"
THOR ABLESTAR DEB,0,"(2558.587526739188, -2559.9441312070962, 6106.98162589824)","(1.205645516885944, 6.979241124844361, 2.3745373494293402)"
THOR ABLESTAR DEB,0,"(835.1408291629222, -6913.763682665473, -1617.4641746588798)","(2.8375758639381123, 1.8050839874861935, -6.670679279801259)"
THOR ABLESTAR DEB,0,"(4471.487760056316, 5502.471209454928, -817.1198206928093)","(-2.8410799334639663, 1.264893355587464, -6.822320636697)"
THOR ABLESTAR DEB,0,"(-3649.4493118493615, -5483.921052799886, -3026.940746327761)","(1.0952689908177524, -4.140425955079761, 6.058962649294672)"
THOR ABLESTAR DEB,0,"(-3000.9370795495824, 3028.2860497285997, 5710.647758668412)","(-0.3266170577534994, -6.709469108419535, 3.3260273938175047)"
THOR ABLESTAR DEB,0,"(4297.044414127469, -568.5616936025941, 5720.9676434269695)","(-3.7963283069512626, 5.390654930900135, 3.437499612008954)"
THOR ABLESTAR DEB,0,"(-3034.4767832700986, 4781.915891536494, -4531.708036569035)","(-5.287307135947711, 1.3097673522237752, 5.038844476238377)"
THOR ABLESTAR DEB,0,"(2940.6639592011143, 1835.2462635901147, -6471.777780107379)","(-6.266622993595578, 3.3113258333389184, -1.8760330337388538)"
THOR ABLESTAR DEB,0,"(-3731.864373642886, -5430.89766357057, -2973.115724812135)","(4.19930608536543, 0.4137215417765942, -6.137748871626447)"
THOR ABLESTAR DEB,0,"(-1908.0708331105097, -4564.458450819352, 5417.228014024623)","(5.679007052052925, 2.392672382129379, 3.9998244925038797)"
